cell_id,segment,geo,language,variant,step,day_offset,subject_line,body_markdown,cta,notes
DE-AGE,agency,DE,de,A,1,0,"Scheinselbstständigkeit: audit-fest dokumentieren statt raten","Hallo {{first_name}},

bei {{company_name}} platzieren Sie laut LinkedIn aktuell mehr als 500 Kontraktoren monatlich beim deutschen Mittelstand. In dieser Größenordnung wird nicht die Entscheidung selbst zum Problem, sondern die Dokumentation: Wenn die DRV-Clearingstelle oder ein Prüfer nachfragt, muss pro Engagement nachvollziehbar belegt sein, worauf die Einschätzung beruht.

contractor-ops ist dafür die Software-Schicht – kein Rechts- oder Steuerberater-Ersatz: wir strukturieren die Kriterien (§ 7a SGB IV), markieren Risiko-Indikatoren pro Vertragspartner und bereiten das Unterlagenpaket für Ihre § 7a-Anfrage auf. Die Statusentscheidung trifft Ihr Steuerberater bzw. die Clearingstelle – wir machen sie schnell und auditierbar.

Macht es Sinn, 15 Minuten dazu zu sprechen? {{cal_link}}

Beste Grüße,
Mateusz Pitura
contractor-ops

P.S.: 2-Minuten-Demo: {{demo_url}}",book 15-min call,"DE-RISKED per positioning-and-liability.md: documentation + risk-flag + §7a prep + adviser routing. NO verdict claim. Software not Rechtsberatung."
DE-AGE,agency,DE,de,A,2,4,"Re: Scheinselbstständigkeit: audit-fest dokumentieren statt raten","Hallo {{first_name}},

ich weiß, dass Sie viele solcher Anfragen bekommen. Daher kurz und konkret: drei Agenturen Ihrer Größenordnung haben uns gesagt, dass die manuelle Statusdokumentation 0,5 FTE bindet – und im Prüffall trotzdem lückenhaft ist.

Falls das bei Ihnen ähnlich ist: hier eine Loom-Demo (3 Min): {{demo_url}}. Wir arbeiten dabei mit Steuerberatern zusammen, die die eigentliche Statusentscheidung tragen – unsere Software liefert nur die belastbare Dokumentation.

Wenn das Thema bei jemand anderem in Ihrem Team besser aufgehoben ist – könnten Sie mich weiterleiten?

Danke,
Mateusz",demo click + referral ask,Follow-up with referral fork + adviser-carries-decision framing.
DE-AGE,agency,DE,de,A,3,9,"Letzte Mail – darf ich Sie löschen?","Hallo {{first_name}},

ich nehme an, dass Status-Dokumentation gerade keine Priorität hat. Soll ich Sie aus meiner Liste streichen?

Beste Grüße,
Mateusz",break-up close,"Break-up close - DSGVO-compliant exit. Sometimes triggers the highest reply rate."
PL-SMB,smb,PL,pl,A,1,0,"KSeF od 02.2026 + kontraktorzy B2B w {{company_name}}","Cześć {{first_name}},

zgodnie z planem Ministerstwa Finansów KSeF staje się obowiązkowy od lutego 2026. Dla firm w skali {{company_name}} (~{{company_size_employees}} osób + miks B2B kontraktorów) wąskie gardło to nie samo wystawianie faktur w KSeF – tylko sklejka: kontrakt → faktura → akceptacja → KSeF, w przepływie który dziś biegnie przez 3–4 narzędzia.

W contractor-ops zbudowaliśmy ten pipeline natywnie pod KSeF plus operacyjne zarządzanie kontraktorami (umowy B2B, płatności, akceptacje). Jeden dashboard, jedna baza, audyt każdego dokumentu.

Czy ma sens 15 minut o tym pogadać? Jeśli tak: {{cal_link}}

Pozdrawiam,
Mateusz Pitura
contractor-ops

P.S.: 2-minutowe demo: {{demo_url}}",book 15-min call,"Go-to lever — KSeF deadline, deterministic, lowest liability. Classification removed from promise; ops + e-invoicing only."
PL-SMB,smb,PL,pl,A,2,4,"Re: KSeF od 02.2026 + kontraktorzy B2B w {{company_name}}","Cześć {{first_name}},

domyślam się, że KSeF jest już na Waszej liście. Pytanie raczej brzmi: czy łączysz to z systemem zarządzania kontraktorami, czy traktujesz jako oddzielny projekt księgowy.

Jeśli to drugie – warto się odezwać. U trzech klientów którzy próbowali rozdzielnie, integracja zjadła 2 razy więcej czasu niż samo wdrożenie KSeF.

3-minutowe Loom: {{demo_url}}

Mateusz",demo click,Reframes objection ('we already have KSeF plan').
PL-SMB,smb,PL,pl,A,3,9,"Ostatnia wiadomość – czy mam Cię odznaczyć?","Cześć {{first_name}},

zakładam że temat KSeF i kontraktorów nie jest teraz priorytetem. Czy mam Cię usunąć z listy?

Pozdrawiam,
Mateusz",break-up close,Break-up. RODO-compliant exit.
UK-AGE,agency,UK,en,A,1,0,"IR35 SDS: prove reasonable care, without the FTE drain","Hi {{first_name}},

{{company_name}} is one of the larger IR35 operators in the UK staffing market. Since the 2021 reform the status determination (SDS) sits with the client and the legal test is whether 'reasonable care' was taken — so the real exposure isn't the decision, it's being able to evidence it if HMRC asks.

contractor-ops is the software layer for that — not a legal adviser: we structure the SDS criteria, capture the evidence per engagement, and produce an audit trail that demonstrates reasonable care. The determination stays with you (or your advising accountant); we make it fast and defensible.

Worth a 15-min call? {{cal_link}}

Best,
Mateusz Pitura
contractor-ops

P.S.: 2-min demo: {{demo_url}}",book 15-min call,"DE-RISKED per positioning-and-liability.md: reasonable-care evidence + audit trail. Client issues SDS. NO vendor determination claim."
UK-AGE,agency,UK,en,A,2,4,"Re: IR35 SDS: prove reasonable care, without the FTE drain","Hi {{first_name}},

I know IR35 inboxes are a graveyard of SaaS pitches. So briefly: three agencies in your bracket told us that manual SDS evidence-gathering burns 0.5 FTE plus £40k/yr legal retainer — and still leaves gaps when HMRC asks for the working.

If that's roughly your shape, here's a 3-min Loom: {{demo_url}}. We work alongside your accountant, who carries the determination — our software just makes the evidence defensible.

If this should go to someone else on your team, who would you point me at?

Thanks,
Mateusz",demo click + referral ask,Self-aware acknowledgement + adviser-carries-decision framing.
UK-AGE,agency,UK,en,A,3,9,"Last message – should I take you off my list?","Hi {{first_name}},

Guessing IR35 evidence automation isn't a priority right now. Want me to drop you from my list?

Best,
Mateusz",break-up close,Break-up close.
SA-SMB,smb,SA,en,A,1,0,"Nitaqat green band – without the spreadsheet juggling","Hi {{first_name}},

{{company_name}} sits in the bracket where Saudization tracking has to balance Vision 2030 ambitions against actual hire-mix economics. Most teams we talk to run this in 3 spreadsheets and a monthly GOSI export – and the Nitaqat band only shows the truth at quarter-end.

We built a Saudization dashboard that tracks ratio per cost center in real time, projects band-change risk 90 days out, and flags any contractor mix that would push you toward yellow. Local nationals counted per Ministry of Human Resources logic.

Worth 15 minutes? {{cal_link}}

Best,
Mateusz Pitura
contractor-ops

P.S.: 2-min demo: {{demo_url}}",book 15-min call,"SA hook = Nitaqat band + Vision 2030. Dashboard mirrors govt data — low liability."
